term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
soul,0.008504642117525541,-0.003807381647808999,0.0028151162926119046,-0.0005940459589414012,0.003349819923392925,-0.002228925566708549,0.001257141174135869,-0.0017754724317515806,0.0013308594130506301,-3.4811379110302164e-17
hurt,-0.007440634620071175,-0.0019089058485541525,0.0015251027246351077,-0.00685696947779563,0.009123528227734616,-0.013498794147529622,-0.005915397430721804,0.00039084608444536404,-0.00235469325120722,-2.49222691716865e-17
cigarette,0.011976809551144057,0.003923233762555164,-0.004518715071743931,0.0018643856316042772,-0.0007211129883737137,0.0006154731269476062,0.001938142551609901,-0.0019161065219041283,-0.0019105261244512762,-3.4962223641902086e-18
johnston,-0.0138762851149438,-0.007796257826258848,-5.946628369263503e-05,0.018408185138551237,-0.008002080429478217,0.00810454503008855,-0.011461047994871949,-0.022447866855168776,0.00795707253372262,1.7038358186001442e-16
pepsicola,-0.0138762851149438,-0.007796257826258848,-5.946628369263503e-05,0.018408185138551237,-0.008002080429478217,0.00810454503008855,-0.011461047994871949,-0.022447866855168776,0.00795707253372262,1.7038358186001442e-16
test,0.010765950515676227,0.0017819443796906584,-0.003854050351590657,-0.004771658133004135,-0.006878347541570932,0.004728910620648832,-0.0038825474863491715,-0.007590457108076643,-0.01556954508416698,8.717047911663784e-17
yards,9.54436610161422e-05,0.015368776287622779,0.011069100448401831,0.000826530547302515,-0.0004798656304385911,0.0028427151237363497,-0.002845896363804001,0.005073104563964845,0.0024362999063533212,-1.279784473293479e-16
hawaiian,-0.01080022924246378,-0.010319616467517168,-0.000771171472483081,0.005218687150234313,-0.022944656419201924,-0.009376658609609631,0.009572334857508151,0.017947385232900206,-0.009620425679175792,1.3944844157287501e-16
mayors,0.014064219257479678,-0.005878623290112231,-0.006455002699209129,-0.014110777654364545,-0.009824976004557612,-0.0034552252704319183,0.005478737455919188,-0.0022661715093497915,0.027139118737999287,-9.088651428768372e-17
muhammad,0.008731691476962504,-0.0020201176479512245,0.001580325150390687,-0.00020999040426760064,0.0001291818533536187,-0.0026858806706278066,0.0051490464653319605,-0.0037204181367470066,-0.004468697958744089,-1.0392550839953611e-16
robeson,0.0005636993094725921,0.00818792241529024,-0.00900375874271935,0.005282710456468668,0.008111736253384915,-0.003924437236387173,0.009348935729280396,-0.002609164450195476,-0.0026163079761076756,-1.8922077890150316e-16
cosby,0.013575668414708836,-0.001955521949691941,-0.005948319718944183,-0.009040033372528032,-0.007320471210029738,-0.0024337603208329822,0.004579893687810551,-0.0041402333858906555,0.01414432086027544,-8.25906682832948e-17
my,0.00249220013044473,0.0006259879165038493,-0.004328288571820271,-0.002189872458550239,0.00047139568765188167,0.0018254649997059844,0.0018380819646867906,0.0020994093712501894,-0.0011056187946901167,2.3680729798993482e-17
gaston,0.007931417662443532,0.00720305870841086,-0.004754901712052424,0.007548458382325435,0.0021371875425682026,-0.007898015242254976,0.0063877876505271615,-0.004376006172975797,0.0028748879297772274,-1.6860191110653768e-16
dimension,0.008464395136986776,0.005643150417185637,0.00196154266234605,0.009997848717879055,0.006769434516748482,-0.008489968971799666,0.013222993732503798,-0.006789256199251414,-0.0041320761746174665,-3.3492149807131674e-16
dear,0.011760431963164201,0.0013075834250247378,-0.003620750132185082,-0.00013436810914040887,-0.0031702192411199887,0.0015915804299919357,-0.0016366194983934127,-0.002783759036302576,-0.0007603715039729318,6.347506406668573e-17
sigler,0.011624673388454214,-0.0008271561362540642,-0.0062888611142294,-0.011201171433400766,-0.005647478932160588,0.005295202807658814,-0.009957020494858134,-0.007344170704731994,-0.018584733480883325,2.1378420844777955e-16
satchel,-0.012380058806189073,-0.003565274838738182,-0.007670969433255829,0.006240415225089049,0.0027580939198006346,0.013971725125915317,0.0014096915238377972,-0.0075902816630665825,0.0036743748088561203,6.292658924626949e-17
conference,0.0004821358568242369,0.004588956807311917,0.0021275470816235274,0.0024185721313051676,0.0025668699788577525,-0.0021535756218189124,0.00547539220406516,-0.005015734634591231,0.0016478216545238132,-2.066590458702875e-16
ark,-0.011873566808732831,-0.004104160602111431,-0.006172225179357023,0.005469350750759091,-0.0007984422863890447,0.004720152693049795,-0.0016155737946014013,-0.004848395996774052,0.0016539903199629593,9.912170797367556e-17
drummer,-0.006683578912165574,-0.004511167236257468,-0.0057541244361201845,-0.0030335890398934355,-0.006902670508205053,-0.012657909753878828,-0.0007068635901195951,0.00766540346263056,-0.0007085043818506226,1.0033144242133771e-16
